Year,Month,Segment,Sub-Segment,Category,Subcategory,Tag,Amount,Quarter,Difference,Difference YTD Budget
2025.0,January,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5569067364.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,COGS,COGS,Actual,-9016216.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,GP,GP,Actual,5560051148.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1681460863.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,508572.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,,Total S&M,Actual,-1680952291.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,,CM,Actual,3879098857.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-71137142.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,5605559.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,22046189.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-916667.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,,Other income/(expenses),Actual,-748138.0,Q1,,
